productNumber;parentNumber;shopwareId;name;description;priceGross;priceNet;currency;taxRate;stock;available;manufacturer;categories;properties;variantOptions;deliveryTime;url;imageUrl
fx-026;;1bbd26e73a977031ce1fbbb1c1cea51f;Trail Jersey;Lightweight merino trail jersey.;49.9;41.93;EUR;19;15;True;Kestrel Works;Apparel > Jerseys;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Trail-Jersey/fx-026;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/f1/54/b5/1787225493/sask-fx-026.png?ts=1787225493
fx-026-black-m;fx-026;317540078e3fcbefdfbe6ffdd6c21702;Trail Jersey;Lightweight merino trail jersey.;54.9;46.13;EUR;19;3;True;Kestrel Works;Apparel > Jerseys;{};"{""Colour"": [""Black""], ""Size"": [""M""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Trail-Jersey/fx-026-black-m;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/f1/54/b5/1787225493/sask-fx-026.png?ts=1787225493
fx-026-blue-l;fx-026;65dd2fc7d9ab2222c013000c627d4683;Trail Jersey;Lightweight merino trail jersey.;49.9;41.93;EUR;19;12;True;Kestrel Works;Apparel > Jerseys;{};"{""Size"": [""L""], ""Colour"": [""Blue""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Trail-Jersey/fx-026-blue-l;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/f1/54/b5/1787225493/sask-fx-026.png?ts=1787225493
fx-026-blue-m;fx-026;a9f07c22a490bd6cb3b8694f282781bc;Trail Jersey;Lightweight merino trail jersey.;49.9;41.93;EUR;19;0;False;Kestrel Works;Apparel > Jerseys;{};"{""Size"": [""M""], ""Colour"": [""Blue""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Trail-Jersey/fx-026-blue-m;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/f1/54/b5/1787225493/sask-fx-026.png?ts=1787225493
fx-030;;93e9ffb6a11d1cecb7753b8eba8a9277;Gravel Tyre 40c;Tubeless gravel tyre, 40c.;44;36.97;EUR;19;24;True;Halyard Tyres;Tyres;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Gravel-Tyre-40c/fx-030;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/0a/d5/d6/1787225494/sask-fx-030.png?ts=1787225494
fx-030-black-650;fx-030;df19024f5ac0dc55a68df7fce3c855c3;Gravel Tyre 40c;Tubeless gravel tyre, 40c.;46;38.66;EUR;19;4;True;Halyard Tyres;Tyres;{};"{""Colour"": [""Black""], ""Size"": [""650x47""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Gravel-Tyre-40c/fx-030-black-650;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/0a/d5/d6/1787225494/sask-fx-030.png?ts=1787225494
fx-030-black-700;fx-030;e394cdf0d7444b09497a550f2721ae48;Gravel Tyre 40c;Tubeless gravel tyre, 40c.;44;36.97;EUR;19;6;True;Halyard Tyres;Tyres;{};"{""Colour"": [""Black""], ""Size"": [""700x40""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Gravel-Tyre-40c/fx-030-black-700;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/0a/d5/d6/1787225494/sask-fx-030.png?ts=1787225494
fx-030-tan-650;fx-030;94a810df2271b3f25c783e81f6e01203;Gravel Tyre 40c;Tubeless gravel tyre, 40c.;49;41.18;EUR;19;2;True;Halyard Tyres;Tyres;{};"{""Colour"": [""Tan""], ""Size"": [""650x47""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Gravel-Tyre-40c/fx-030-tan-650;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/0a/d5/d6/1787225494/sask-fx-030.png?ts=1787225494
fx-030-tan-700;fx-030;ce0592c77b9403915984d3336a53df77;Gravel Tyre 40c;Tubeless gravel tyre, 40c.;49;41.18;EUR;19;0;False;Halyard Tyres;Tyres;{};"{""Colour"": [""Tan""], ""Size"": [""700x40""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Gravel-Tyre-40c/fx-030-tan-700;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/0a/d5/d6/1787225494/sask-fx-030.png?ts=1787225494
fx-031;;588de0eb02065d5fa828790913fd7609;Winter Mudguard Set;Full-length mudguards for wet-weather commuting.;38;31.93;EUR;19;9;True;Northbound Supply;Accessories > Mudguards;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Winter-Mudguard-Set/fx-031;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/dc/e3/94/1787225494/sask-fx-031.png?ts=1787225494
sk-101;;4b3ac1ff35e9e105f9446f1569b3822d;Trail Helmet;In-mould trail helmet with an extended rear shell, adjustable visor and a dial-fit retention system. 22 vents keep it cool on long climbs.;89;74.79;EUR;19;11;True;Kestrel Works;Helmets;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Trail-Helmet/sk-101;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/93/68/81/1787225494/sask-sk-101.png?ts=1787225494
sk-101-l;sk-101;5e22e7ecf34a9f765451d550bce05a7a;Trail Helmet;In-mould trail helmet with an extended rear shell, adjustable visor and a dial-fit retention system. 22 vents keep it cool on long climbs.;89;74.79;EUR;19;4;True;Kestrel Works;Helmets;{};"{""Colour"": [""Black""], ""Size"": [""L""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Trail-Helmet/sk-101-l;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/93/68/81/1787225494/sask-sk-101.png?ts=1787225494
sk-101-m;sk-101;72f2ea334f589e49b89677adead49e43;Trail Helmet;In-mould trail helmet with an extended rear shell, adjustable visor and a dial-fit retention system. 22 vents keep it cool on long climbs.;89;74.79;EUR;19;7;True;Kestrel Works;Helmets;{};"{""Colour"": [""Black""], ""Size"": [""M""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Trail-Helmet/sk-101-m;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/93/68/81/1787225494/sask-sk-101.png?ts=1787225494
sk-102;;ad8cdec582d2f74768eba5e228274269;Commuter Helmet;Rounded urban helmet with an integrated rear light and a rain cover in the box. Fits over a beanie in winter.;64.5;54.2;EUR;19;14;True;Kestrel Works;Helmets;"{""Colour"": [""White""]}";{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Commuter-Helmet/sk-102;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/26/13/5d/1787225495/sask-sk-102.png?ts=1787225495
sk-103;;8331872278c42cf58f7f8955dd019ef4;Front Light 800;800 lumen USB-C front light with a shaped beam that keeps the glare off oncoming traffic. Four hours on full, twelve on the commute setting.;54.9;46.13;EUR;19;22;True;Ferrolane;Accessories > Lights;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Front-Light-800/sk-103;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/f4/96/7f/1787225495/sask-sk-103.png?ts=1787225495
sk-104;;adc8ef2f960226d957c38a125b739b75;Rear Light USB-C;Bright rear light with a brake-sensing flash mode and a seatpost clip that survives a winter. USB-C charging, no proprietary cable.;24.9;20.92;EUR;19;31;True;Ferrolane;Accessories > Lights;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Rear-Light-USB-C/sk-104;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/2b/b0/3a/1787225496/sask-sk-104.png?ts=1787225496
sk-105;;f643db7241ba194b4a4a4c1b39602995;Handlebar Bag 3L;"Fully waterproof 3 litre roll-top handlebar bag. Two straps and a spacer keep it off the cables; the roll closure means no zip to fail.";59;49.58;EUR;19;9;True;Northbound Supply;Accessories > Bags;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Handlebar-Bag-3L/sk-105;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/8d/d5/bc/1787225496/sask-sk-105.png?ts=1787225496
sk-105-black;sk-105;bd8d3bfd485eb0616b455db7d89f16f3;Handlebar Bag 3L;"Fully waterproof 3 litre roll-top handlebar bag. Two straps and a spacer keep it off the cables; the roll closure means no zip to fail.";59;49.58;EUR;19;6;True;Northbound Supply;Accessories > Bags;{};"{""Colour"": [""Black""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Handlebar-Bag-3L/sk-105-black;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/8d/d5/bc/1787225496/sask-sk-105.png?ts=1787225496
sk-105-olive;sk-105;3940c171050921522a8ee5903062497e;Handlebar Bag 3L;"Fully waterproof 3 litre roll-top handlebar bag. Two straps and a spacer keep it off the cables; the roll closure means no zip to fail.";62;52.1;EUR;19;3;True;Northbound Supply;Accessories > Bags;{};"{""Colour"": [""Olive""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Handlebar-Bag-3L/sk-105-olive;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/8d/d5/bc/1787225496/sask-sk-105.png?ts=1787225496
sk-107;;6153b70589c5c37e45dcf02bc5c90228;Multi-Tool 12;Twelve hardened bits — hex, Torx, a chain breaker and a spoke key — folded into a body small enough for a jersey pocket.;27.5;23.11;EUR;19;35;True;Ferrolane;Maintenance;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Multi-Tool-12/sk-107;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/0c/f0/f8/1787225496/sask-sk-107.png?ts=1787225496
sk-108;;0268a39c847f38ea2e53d6247d3e0911;Mini Pump 120psi;Alloy mini pump rated to 120 psi with a fold-out T-handle and a switchable Presta/Schrader head. Frame mount included.;32;26.89;EUR;19;19;True;Ferrolane;Maintenance;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Mini-Pump-120psi/sk-108;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/92/e1/80/1787225497/sask-sk-108.png?ts=1787225497
sk-110;;50fa831cb5c5fdf964f931157558f722;Tubeless Sealant 500ml;Latex tubeless sealant with fine sealing particles, seals punctures up to 6 mm. 500 ml bottle with an injector spout.;17.9;15.04;EUR;19;0;False;Cinder & Co.;Maintenance;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Tubeless-Sealant-500ml/sk-110;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/46/5c/74/1787225497/sask-sk-110.png?ts=1787225497
sk-111;;8b9e110395e11ac0b86cc0a0a431300b;Merino Base Layer;Featherweight 150 g/m² merino base layer. Warm when it is cold, breathable when it is not, and it does not stink after three days.;39.9;33.53;EUR;19;18;True;Kestrel Works;Apparel > Base Layers;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Merino-Base-Layer/sk-111;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/fc/63/f1/1787225498/sask-sk-111.png?ts=1787225498
sk-111-l;sk-111;784e075a24d4ae387a22e08ec3a38f68;Merino Base Layer;Featherweight 150 g/m² merino base layer. Warm when it is cold, breathable when it is not, and it does not stink after three days.;39.9;33.53;EUR;19;7;True;Kestrel Works;Apparel > Base Layers;{};"{""Colour"": [""Black""], ""Size"": [""L""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Merino-Base-Layer/sk-111-l;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/fc/63/f1/1787225498/sask-sk-111.png?ts=1787225498
sk-111-m;sk-111;63c18ee064f654ade3d0be27adadbe94;Merino Base Layer;Featherweight 150 g/m² merino base layer. Warm when it is cold, breathable when it is not, and it does not stink after three days.;39.9;33.53;EUR;19;8;True;Kestrel Works;Apparel > Base Layers;{};"{""Colour"": [""Black""], ""Size"": [""M""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Merino-Base-Layer/sk-111-m;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/fc/63/f1/1787225498/sask-sk-111.png?ts=1787225498
sk-111-xl;sk-111;d11cf640b611dba973f3a56ee3f1d5ec;Merino Base Layer;Featherweight 150 g/m² merino base layer. Warm when it is cold, breathable when it is not, and it does not stink after three days.;42.9;36.05;EUR;19;3;True;Kestrel Works;Apparel > Base Layers;{};"{""Colour"": [""Black""], ""Size"": [""XL""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Merino-Base-Layer/sk-111-xl;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/fc/63/f1/1787225498/sask-sk-111.png?ts=1787225498
sk-112;;89d04938a6295e6433fbb7927512eace;Bib Shorts;Four-way stretch bib shorts with a multi-density chamois rated for six-hour days and laser-cut leg grippers that do not dig in.;79;66.39;EUR;19;12;True;Kestrel Works;Apparel > Shorts;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Bib-Shorts/sk-112;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/68/2e/cc/1787225498/sask-sk-112.png?ts=1787225498
sk-112-l;sk-112;62dd4f89586c60b3548ed6e0a6d675b4;Bib Shorts;Four-way stretch bib shorts with a multi-density chamois rated for six-hour days and laser-cut leg grippers that do not dig in.;79;66.39;EUR;19;7;True;Kestrel Works;Apparel > Shorts;{};"{""Colour"": [""Black""], ""Size"": [""L""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Bib-Shorts/sk-112-l;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/68/2e/cc/1787225498/sask-sk-112.png?ts=1787225498
sk-112-m;sk-112;6811eec486780427329bb383018830f3;Bib Shorts;Four-way stretch bib shorts with a multi-density chamois rated for six-hour days and laser-cut leg grippers that do not dig in.;79;66.39;EUR;19;5;True;Kestrel Works;Apparel > Shorts;{};"{""Colour"": [""Black""], ""Size"": [""M""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Bib-Shorts/sk-112-m;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/68/2e/cc/1787225498/sask-sk-112.png?ts=1787225498
sk-114;;32f3a64540e81134134859c0ba37da1a;Ergonomic Grips;Wing-shaped rubber grips that spread the load across the palm on long rides. Single alloy lock ring, no slip.;21;17.65;EUR;19;27;True;Ferrolane;Components > Grips;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Ergonomic-Grips/sk-114;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/6c/f5/78/1787225499/sask-sk-114.png?ts=1787225499
sk-114-black;sk-114;afae18fc2453bd7fc4443d7476c45a8b;Ergonomic Grips;Wing-shaped rubber grips that spread the load across the palm on long rides. Single alloy lock ring, no slip.;21;17.65;EUR;19;19;True;Ferrolane;Components > Grips;{};"{""Colour"": [""Black""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Ergonomic-Grips/sk-114-black;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/6c/f5/78/1787225499/sask-sk-114.png?ts=1787225499
sk-114-tan;sk-114;3911d681c589c87acafb0614bf3dcaea;Ergonomic Grips;Wing-shaped rubber grips that spread the load across the palm on long rides. Single alloy lock ring, no slip.;21;17.65;EUR;19;8;True;Ferrolane;Components > Grips;{};"{""Colour"": [""Tan""]}";1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Ergonomic-Grips/sk-114-tan;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/6c/f5/78/1787225499/sask-sk-114.png?ts=1787225499
sk-115;;d27c8e90cb428ad428a4ece5b0aca5b9;Carbon Seatpost 27.2;27.2 mm carbon seatpost with a small amount of engineered flex — it takes the sting out of rough tarmac without a suspension mechanism.;119;100;EUR;19;4;True;Ferrolane;Components > Seatposts;{};{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Carbon-Seatpost-27.2/sk-115;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/49/2e/1c/1787225499/sask-sk-115.png?ts=1787225499
sk-116;;d291a3616384aafdc15a4560b731b7ad;Gravel Saddle;Short-nose gravel saddle with a wide relief channel and a durable microfibre cover. Steel rails, 143 mm width.;74;62.18;EUR;19;13;True;Kestrel Works;Components > Saddles;"{""Colour"": [""Black""]}";{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Gravel-Saddle/sk-116;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/28/dc/21/1787225500/sask-sk-116.png?ts=1787225500
sk-117;;f5321c9a5f9e90df55cb9d3bbabbfab5;Road Tyre 28c;Fast-rolling 28c road tyre with a puncture-resistant breaker belt under the tread. Tubeless-ready, supple 120 tpi casing.;39;32.77;EUR;19;16;True;Halyard Tyres;Tyres;"{""Colour"": [""Black""], ""Size"": [""700x28""]}";{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Road-Tyre-28c/sk-117;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/3a/f0/e1/1787225500/sask-sk-117.png?ts=1787225500
sk-119;;d58ad8c913b75d9244deb3c5119751d0;Disc Rotor 160mm;160 mm centre-lock disc rotor with an aluminium carrier that sheds heat on long descents. Rounded edges, no cheese-grater cutouts.;26;21.85;EUR;19;21;True;Ferrolane;Brakes;"{""Brake system"": [""Disc""]}";{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Disc-Rotor-160mm/sk-119;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/a9/11/45/1787225501/sask-sk-119.png?ts=1787225501
sk-121;;ca30769a28f6158d873d16550b36a1cd;Team Cap;Cotton cycling cap with a short stiff brim that flips up. Fits under a helmet, soaks up the sweat a helmet pad cannot.;19;15.97;EUR;19;44;True;Kestrel Works;Merch;"{""Colour"": [""Black""]}";{};1-3 days;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/Team-Cap/sk-121;https://shoppingassistan-rschulte.eu-core-1.shopdev.de/media/44/19/b7/1787225501/sask-sk-121.png?ts=1787225501
